TEAM,COLLEGE,NAME,COLLEGE_NAME
New York Knicks,Louisiana-Lafayette,Elfrid Payton,Louisiana-LafayetteElfrid Payton
Washington Wizards,Oregon State, Gary Payton II,Oregon State Gary Payton II
Houston Rockets,Duke,Austin Rivers,DukeAustin Rivers
Los Angeles Lakers,Kentucky,Rajon Rondo,KentuckyRajon Rondo
Detroit Pistons,Memphis,Derrick Rose,MemphisDerrick Rose
Charlotte Hornets,Louisville,Terry Rozier,LouisvilleTerry Rozier
Phoenix Suns,,Ricky Rubio,Ricky Rubio
Oklahoma City Thunder,,Dennis Schroder,Dennis Schroder
Cleveland Cavaliers,Alabama,Collin Sexton,AlabamaCollin Sexton
Philadelphia 76ers,LSU,Ben Simmons,LSUBen Simmons
Charlotte Hornets,Arizona,Kobi Simmons,ArizonaKobi Simmons
Boston Celtics,Oklahoma State,Marcus Smart,Oklahoma StateMarcus Smart
Washington Wizards,Wake Forest,Ish Smith,Wake ForestIsh Smith
New York Knicks,North Carolina State, Dennis Smith Jr.,North Carolina State Dennis Smith Jr.
Indiana Pacers,Xavier,Edmond Sumner,XavierEdmond Sumner
Atlanta Hawks,Wake Forest,Jeff Teague,Wake ForestJeff Teague
Miami Heat,UC Santa Barbara,Gabe Vincent,UC Santa BarbaraGabe Vincent
Boston Celtics,Connecticut,Kemba Walker,ConnecticutKemba Walker
Washington Wizards,Kentucky,John Wall,KentuckyJohn Wall
Boston Celtics,Pittsburgh,Brad Wanamaker,PittsburghBrad Wanamaker
Boston Celtics,LSU,Tremont Waters,LSUTremont Waters
Houston Rockets,UCLA,Russell Westbrook,UCLARussell Westbrook
Chicago Bulls,North Carolina,Coby White,North CarolinaCoby White
San Antonio Spurs,Colorado,Derrick White,ColoradoDerrick White
Utah Jazz,Gonzaga,Nigel Williams-Goss,GonzagaNigel Williams-Goss
Dallas Mavericks,Utah,Delon Wright,UtahDelon Wright
Utah Jazz,Hofstra,Justin Wright-Foreman,HofstraJustin Wright-Foreman
Atlanta Hawks,Oklahoma,Trae Young,OklahomaTrae Young
